code,org,section,enrollmentCapacity,actualEnrolment,deliveryMode,teachingMethod,enrollmentControls
USA200H1,CSUS,F,60,21,ONLSYNC,LEC,*
USA300H1,CSUS,S,9,7,CLASS,LEC,*
USA300H1,CSUS,S,51,8,ONLSYNC,LEC,*
USA300H1,CSUS,S,9,6,CLASS,TUT,
USA300H1,CSUS,S,9,1,CLASS,TUT,
USA300H1,CSUS,S,21,5,ONLSYNC,TUT,
USA300H1,CSUS,S,21,3,ONLSYNC,TUT,
USA310H1,CSUS,S,4,4,CLASS,LEC,*
USA310H1,CSUS,S,21,4,ONLSYNC,LEC,*
USA311H1,CSUS,F,25,15,ONLSYNC,LEC,*
USA312H1,CSUS,F,30,6,ONLSYNC,LEC,*
USA312H1,CSUS,S,9,4,CLASS,LEC,*
USA312H1,CSUS,S,36,2,ONLSYNC,LEC,*
USA313H1,CSUS,F,15,2,ONLASYNC,LEC,*
USA402H1,CSUS,S,2,2,CLASS,LEC,*
USA402H1,CSUS,S,5,3,ONLSYNC,LEC,*
USA403H1,CSUS,F,4,3,CLASS,LEC,*
USA403H1,CSUS,F,4,2,ONLSYNC,LEC,*
USA403H1,CSUS,S,3,1,CLASS,LEC,*
USA403H1,CSUS,S,5,0,ONLSYNC,LEC,*
ANA300Y1,ANA,Y,400,398,ONLSYNC,LEC,
ANA300Y1,ANA,Y,67,67,ONLSYNC,TUT,
ANA300Y1,ANA,Y,67,67,ONLSYNC,TUT,
ANA300Y1,ANA,Y,67,67,ONLSYNC,TUT,
ANA300Y1,ANA,Y,67,67,ONLSYNC,TUT,
ANA300Y1,ANA,Y,66,66,ONLSYNC,TUT,
ANA300Y1,ANA,Y,66,62,ONLSYNC,TUT,
ANA301H1,ANA,S,500,267,ONLSYNC,LEC,
ANA400H1,ANA,S,16,0,CLASS,LEC,
ANA400H1,ANA,S,0,0,ONLSYNC,LEC,
JHA410H1,HMB,S,28,22,CLASS,LEC,3
JHA410H1,HMB,S,139,100,ONLSYNC,LEC,3
JHA410H1,HMB,S,26,11,CLASS,PRA,
JHA410H1,HMB,S,26,17,CLASS,PRA,
JHA410H1,HMB,S,10,10,CLASS,PRA,
JHA410H1,HMB,S,26,18,CLASS,PRA,
JHA410H1,HMB,S,23,16,ONLSYNC,PRA,
JHA410H1,HMB,S,23,17,ONLSYNC,PRA,
JHA410H1,HMB,S,10,4,ONLSYNC,PRA,
JHA410H1,HMB,S,23,16,ONLSYNC,PRA,
ANA411H1,ANA,S,20,0,CLASS,LEC,
ANA411H1,ANA,S,0,0,ONLSYNC,LEC,
ANT100Y1,ANT,Y,50,19,ONLSYNC,LEC,*
ANT100Y1,ANT,Y,1030,610,ONLSYNC,LEC,1
ANT193H1,ANT,S,12,12,CLASS,LEC,1
ANT193H1,ANT,S,13,13,ONLSYNC,LEC,1
ANT194H1,ANT,F,25,25,ONLSYNC,LEC,1
ANT199H1,ANT,F,10,5,CLASS,LEC,1
ANT199H1,ANT,F,15,2,ONLSYNC,LEC,1
ANT200Y1,ANT,Y,150,94,ONLSYNC,LEC,
ANT200Y1,ANT,Y,12,5,CLASS,TUT,
ANT200Y1,ANT,Y,12,5,CLASS,TUT,
ANT200Y1,ANT,Y,12,12,CLASS,TUT,
ANT200Y1,ANT,Y,12,4,CLASS,TUT,
ANT200Y1,ANT,Y,12,1,CLASS,TUT,
ANT200Y1,ANT,Y,12,6,CLASS,TUT,
ANT200Y1,ANT,Y,13,13,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,10,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,7,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,9,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,6,ONLSYNC,TUT,
ANT200Y1,ANT,Y,13,6,ONLSYNC,TUT,
ANT203Y1,ANT,Y,150,126,ONLASYNC,LEC,
ANT203Y1,ANT,Y,57,45,ONLSYNC,PRA,
ANT203Y1,ANT,Y,12,11,CLASS,PRA,
ANT203Y1,ANT,Y,12,12,CLASS,PRA,
ANT203Y1,ANT,Y,12,9,CLASS,PRA,
ANT203Y1,ANT,Y,57,39,ONLSYNC,PRA,
ANT204H1,ANT,S,300,194,ONLSYNC,LEC,
ANT204H1,ANT,S,38,38,ONLSYNC,TUT,
ANT204H1,ANT,S,38,38,ONLSYNC,TUT,
ANT204H1,ANT,S,38,38,ONLSYNC,TUT,
ANT204H1,ANT,S,38,22,ONLSYNC,TUT,
ANT204H1,ANT,S,38,22,ONLSYNC,TUT,
ANT204H1,ANT,S,38,9,ONLSYNC,TUT,
ANT204H1,ANT,S,38,7,ONLSYNC,TUT,
ANT204H1,ANT,S,38,4,ONLSYNC,TUT,
ANT205H1,ANT,F,120,120,ONLASYNC,LEC,
ANT205H1,ANT,F,30,30,ONLSYNC,TUT,
ANT205H1,ANT,F,30,30,ONLSYNC,TUT,
ANT205H1,ANT,F,30,30,ONLSYNC,TUT,
ANT205H1,ANT,F,30,21,ONLSYNC,TUT,
ANT207H1,ANT,F,180,42,ONLASYNC,LEC,*
ANT207H1,ANT,F,30,9,ONLSYNC,TUT,
ANT207H1,ANT,F,30,7,ONLSYNC,TUT,
ANT207H1,ANT,F,30,7,ONLSYNC,TUT,
ANT207H1,ANT,F,30,11,ONLSYNC,TUT,
ANT207H1,ANT,F,30,3,ONLSYNC,TUT,
ANT207H1,ANT,F,30,4,ONLSYNC,TUT,
ANT208H1,ANT,S,350,350,ONLSYNC,LEC,
ANT208H1,ANT,S,35,35,ONLSYNC,TUT,
ANT208H1,ANT,S,35,35,ONLSYNC,TUT,
ANT208H1,ANT,S,35,35,ONLSYNC,TUT,
ANT208H1,ANT,S,35,35,ONLSYNC,TUT,
ANT208H1,ANT,S,35,34,ONLSYNC,TUT,
ANT208H1,ANT,S,35,32,ONLSYNC,TUT,
ANT208H1,ANT,S,35,29,ONLSYNC,TUT,
ANT208H1,ANT,S,35,26,ONLSYNC,TUT,
ANT208H1,ANT,S,35,34,ONLSYNC,TUT,
ANT208H1,ANT,S,35,27,ONLSYNC,TUT,
ANT253H1,ANT,F,500,500,ONLASYNC,LEC,1
JAR301H1,ANT,S,16,0,CLASS,LEC,*
JAR301H1,ANT,S,84,13,ONLSYNC,LEC,*
JAR301H1,ANT,S,10,0,CLASS,TUT,
JAR301H1,ANT,S,10,0,CLASS,TUT,
JAR301H1,ANT,S,10,0,CLASS,TUT,
JAR301H1,ANT,S,29,7,ONLSYNC,TUT,
JAR301H1,ANT,S,29,1,ONLSYNC,TUT,
JAR301H1,ANT,S,29,5,ONLSYNC,TUT,
ARH305H1,ANT,F,20,9,CLASS,LEC,*
ARH305H1,ANT,F,40,15,ONLSYNC,LEC,*
JGA305H1,ES,F,14,9,CLASS,LEC,
JGA305H1,ES,F,6,4,ONLSYNC,LEC,*
JGA305H1,ES,F,36,8,ONLSYNC,LEC,
ARH309H1,ANT,S,16,9,CLASS,LEC,*
ARH309H1,ANT,S,44,14,ONLSYNC,LEC,*
ARH312Y1,ANT,Y,30,20,ONLSYNC,LEC,*
ANT314H1,ANT,F,16,11,CLASS,LEC,*
ANT314H1,ANT,F,44,6,ONLSYNC,LEC,*
ANT318H1,ANT,F,60,39,ONLSYNC,LEC,*
ANT322H1,ANT,F,130,31,ONLSYNC,LEC,*
ANT329H1,ANT,F,60,18,ONLSYNC,LEC,*
ANT329H1,ANT,F,15,8,CLASS,TUT,
ANT329H1,ANT,F,15,3,CLASS,TUT,
ANT329H1,ANT,F,15,1,CLASS,TUT,
ANT329H1,ANT,F,15,2,CLASS,TUT,
ANT329H1,ANT,F,0,0,ONLSYNC,TUT,
ANT329H1,ANT,F,0,0,ONLSYNC,TUT,
ANT329H1,ANT,F,0,0,ONLSYNC,TUT,
ANT329H1,ANT,F,0,0,ONLSYNC,TUT,
ANT333Y1,ANT,Y,60,18,ONLSYNC,LEC,*
ANT333Y1,ANT,Y,30,12,ONLSYNC,PRA,
ANT333Y1,ANT,Y,30,5,ONLSYNC,PRA,
ANT334H1,ANT,F,100,42,ONLSYNC,LEC,*
ANT334H1,ANT,F,50,26,ONLSYNC,PRA,
ANT334H1,ANT,F,50,14,ONLSYNC,PRA,
ANT335Y1,ANT,F,60,26,ONLASYNC,LEC,*
ANT335Y1,ANT,F,20,20,ONLASYNC,PRA,
ANT335Y1,ANT,F,20,6,ONLASYNC,PRA,
ANT335Y1,ANT,F,20,0,ONLASYNC,PRA,
ANT336H1,ANT,S,14,12,CLASS,LEC,*
ANT336H1,ANT,S,46,21,ONLSYNC,LEC,*
ANT338H1,ANT,F,15,15,CLASS,LEC,*
ANT338H1,ANT,F,45,21,ONLSYNC,LEC,*
ANT338H1,ANT,F,30,23,ONLSYNC,TUT,
ANT338H1,ANT,F,30,13,ONLSYNC,TUT,
ANT343H1,ANT,F,60,38,ONLSYNC,LEC,*
ANT345H1,ANT,F,60,23,ONLSYNC,LEC,*
ANT348H1,ANT,F,60,41,ONLSYNC,LEC,*
ANT356H1,ANT,F,60,25,ONLASYNC,LEC,*
ARH360H1,ANT,S,12,9,CLASS,LEC,*
ARH360H1,ANT,S,48,6,ONLSYNC,LEC,*
ANT366H1,ANT,Y,60,23,ONLSYNC,LEC,*
ANT370H1,ANT,S,10,10,CLASS,LEC,*
ANT370H1,ANT,S,50,21,ONLSYNC,LEC,*
ANT376H1,ANT,F,60,26,ONLASYNC,LEC,*
ANT378H1,ANT,S,16,10,CLASS,LEC,*
ANT378H1,ANT,S,44,19,ONLSYNC,LEC,*
ANT380H1,ANT,S,12,0,CLASS,LEC,*
ANT380H1,ANT,S,18,2,ONLSYNC,LEC,*
ANT384H1,ANT,F,60,25,ONLSYNC,LEC,*
ANT386H1,ANT,S,10,6,CLASS,LEC,*
ANT386H1,ANT,S,50,5,ONLSYNC,LEC,*
ANT388H1,ANT,S,24,24,CLASS,LEC,*
ANT388H1,ANT,S,36,36,ONLSYNC,LEC,*
JAL401H1,LIN,S,3,3,CLASS,LEC,*
JAL401H1,LIN,S,14,14,ONLSYNC,LEC,*
ANT410H1,ANT,S,6,6,CLASS,LEC,*
ANT410H1,ANT,S,14,14,ONLSYNC,LEC,*
ANT411H1,ANT,S,6,6,CLASS,LEC,*
ANT411H1,ANT,S,19,18,ONLSYNC,LEC,*
ANT412H1,ANT,F,20,12,ONLSYNC,LEC,*
ANT425H1,ANT,F,10,9,CLASS,LEC,*
ANT425H1,ANT,F,14,7,ONLSYNC,LEC,*
ANT434H1,ANT,S,12,12,CLASS,LEC,*
ANT434H1,ANT,S,8,8,ONLSYNC,LEC,*
ANT434H1,ANT,S,12,11,CLASS,PRA,
ANT434H1,ANT,S,8,8,ONLSYNC,PRA,
ANT435H1,ANT,S,3,3,CLASS,LEC,*
ANT435H1,ANT,S,17,17,ONLSYNC,LEC,*
ANT438H1,ANT,F,20,16,ONLSYNC,LEC,*
ANT441H1,ANT,S,7,7,CLASS,LEC,*
ANT441H1,ANT,S,13,13,ONLSYNC,LEC,*
ANT450H1,ANT,F,20,20,ONLASYNC,LEC,*
HAJ453H1,HMB,F,23,20,CLASS,LEC,3
HAJ453H1,HMB,F,52,44,ONLSYNC,LEC,3
ANT455H1,ANT,S,7,6,CLASS,LEC,*
ANT455H1,ANT,S,13,5,ONLSYNC,LEC,*
ANT459H1,ANT,S,5,2,CLASS,LEC,*
ANT459H1,ANT,S,15,4,ONLSYNC,LEC,*
ANT460H1,ANT,S,10,10,CLASS,LEC,*
ANT460H1,ANT,S,10,10,ONLSYNC,LEC,*
ANT472H1,ANT,S,6,6,CLASS,LEC,*
ANT472H1,ANT,S,14,13,ONLSYNC,LEC,*
ANT473H1,ANT,F,20,1,ONLSYNC,LEC,*
ANT484H1,ANT,S,5,5,CLASS,LEC,*
ANT484H1,ANT,S,15,9,ONLSYNC,LEC,*
ANT485H1,ANT,F,20,15,ONLSYNC,LEC,*
ARH494H1,ANT,S,10,1,CLASS,LEC,*
ARH494H1,ANT,S,10,0,ONLSYNC,LEC,*
IFP101Y1,NEW,Y,20,5,ONLSYNC,LEC,*
FOR200H1,ARCLA,F,250,215,ONLASYNC,LEC,
FOR201H1,ARCLA,S,210,100,ONLSYNC,LEC,
FOR300H1,ARCLA,S,16,9,CLASS,LEC,
FOR300H1,ARCLA,S,39,16,ONLSYNC,LEC,
FOR300H1,ARCLA,S,9,7,CLASS,TUT,
FOR300H1,ARCLA,S,46,17,ONLSYNC,TUT,
FOR302H1,ARCLA,S,12,12,CLASS,LEC,
FOR302H1,ARCLA,S,63,38,ONLSYNC,LEC,
FOR302H1,ARCLA,S,12,10,CLASS,TUT,
FOR302H1,ARCLA,S,63,34,ONLSYNC,TUT,
FOR303H1,ARCLA,F,75,75,ONLASYNC,LEC,
FOR305H1,ARCLA,F,20,20,CLASS,LEC,
FOR305H1,ARCLA,F,15,15,ONLSYNC,LEC,
FOR305H1,ARCLA,F,14,14,CLASS,PRA,
FOR305H1,ARCLA,F,21,19,ONLSYNC,PRA,
FOR310H1,ARCLA,S,1,1,CLASS,LEC,*
FOR310H1,ARCLA,S,15,14,CLASS,LEC,
FOR310H1,ARCLA,S,30,28,ONLSYNC,LEC,
FOR310H1,ARCLA,S,3,3,ONLSYNC,LEC,*
FOR310H1,ARCLA,S,14,8,CLASS,TUT,
FOR310H1,ARCLA,S,31,31,ONLSYNC,TUT,
FOR400Y1,ARCLA,Y,28,17,CLASS,LEC,
FOR400Y1,ARCLA,Y,7,7,ONLSYNC,LEC,
FOR401H1,ARCLA,Y,18,1,CLASS,LEC,
FOR410H1,ARCLA,S,2,0,CLASS,LEC,
FOR410H1,ARCLA,S,8,0,ONLSYNC,LEC,
FOR410H1,ARCLA,S,2,0,CLASS,TUT,
FOR410H1,ARCLA,S,8,0,ONLSYNC,TUT,
FOR416H1,ARCLA,F,20,15,ONLSYNC,LEC,
FOR419H1,ARCLA,S,8,5,CLASS,LEC,
FOR419H1,ARCLA,S,12,4,ONLSYNC,LEC,
FOR423H1,ARCLA,S,2,2,CLASS,LEC,
FOR423H1,ARCLA,S,8,0,ONLSYNC,LEC,
FAH102H1,FAR,F,201,172,ONLASYNC,LEC,1
FAH102H1,FAR,F,21,21,ONLASYNC,TUT,
FAH102H1,FAR,F,20,20,ONLASYNC,TUT,
FAH102H1,FAR,F,20,20,ONLASYNC,TUT,
FAH102H1,FAR,F,20,20,ONLASYNC,TUT,
FAH102H1,FAR,F,20,20,ONLASYNC,TUT,
FAH102H1,FAR,F,20,20,ONLASYNC,TUT,
FAH102H1,FAR,F,20,15,ONLASYNC,TUT,
FAH102H1,FAR,F,20,2,ONLASYNC,TUT,
FAH102H1,FAR,F,20,1,ONLASYNC,TUT,
FAH102H1,FAR,F,20,6,ONLASYNC,TUT,
FAH102H1,FAR,S,220,138,ONLASYNC,LEC,1
FAH102H1,FAR,S,22,22,ONLSYNC,TUT,
FAH102H1,FAR,S,22,21,ONLASYNC,TUT,
FAH102H1,FAR,S,22,18,ONLSYNC,TUT,
FAH102H1,FAR,S,22,12,ONLASYNC,TUT,
FAH102H1,FAR,S,22,18,ONLSYNC,TUT,
FAH102H1,FAR,S,22,5,ONLASYNC,TUT,
FAH102H1,FAR,S,22,20,ONLSYNC,TUT,
FAH102H1,FAR,S,22,3,ONLASYNC,TUT,
FAH102H1,FAR,S,22,5,ONLSYNC,TUT,
FAH102H1,FAR,S,22,1,ONLASYNC,TUT,
FAH194H1,FAR,F,24,24,ONLSYNC,LEC,1
FAH196H1,FAR,S,10,10,CLASS,LEC,1
FAH196H1,FAR,S,15,15,ONLSYNC,LEC,1
FAH198H1,FAR,S,5,5,CLASS,LEC,1
FAH198H1,FAR,S,20,5,ONLSYNC,LEC,1
FAH205H1,FAR,S,28,11,CLASS,LEC,
FAH205H1,FAR,S,160,14,ONLSYNC,LEC,
FAH207H1,FAR,F,201,187,ONLASYNC,LEC,
FAH215H1,FAR,F,28,20,CLASS,LEC,
FAH215H1,FAR,F,62,44,ONLSYNC,LEC,
FAH230H1,FAR,S,32,32,CLASS,LEC,
FAH230H1,FAR,S,156,130,ONLSYNC,LEC,
FAH246H1,FAR,F,201,119,ONLASYNC,LEC,
FAH252H1,FAR,S,28,27,CLASS,LEC,
FAH252H1,FAR,S,160,63,ONLSYNC,LEC,
FAH255H1,FAR,S,26,20,CLASS,LEC,
FAH255H1,FAR,S,154,21,ONLSYNC,LEC,
FAH262H1,FAR,S,38,27,CLASS,LEC,
FAH262H1,FAR,S,150,81,ONLSYNC,LEC,
FAH265H1,FAR,S,18,18,CLASS,LEC,
FAH265H1,FAR,S,82,31,ONLSYNC,LEC,
FAH270H1,FAR,F,201,105,ONLASYNC,LEC,
FAH272H1,FAR,S,28,26,CLASS,LEC,
FAH272H1,FAR,S,160,51,ONLSYNC,LEC,
FAH273H1,FAR,F,188,40,ONLSYNC,LEC,
FAH307H1,FAR,S,16,10,CLASS,LEC,
FAH307H1,FAR,S,74,15,ONLSYNC,LEC,
FAH309H1,FAR,S,16,16,CLASS,LEC,
FAH309H1,FAR,S,80,53,ONLSYNC,LEC,
FAH313H1,FAR,S,16,16,CLASS,LEC,
FAH313H1,FAR,S,74,74,ONLSYNC,LEC,
FAH314H1,FAR,F,110,64,ONLSYNC,LEC,
FAH319H1,FAR,S,45,0,CLASS,LEC,
FAH319H1,FAR,S,50,11,ONLSYNC,LEC,
FAH325H1,FAR,S,16,13,CLASS,LEC,
FAH325H1,FAR,S,74,14,ONLSYNC,LEC,
FAH331H1,FAR,F,25,10,CLASS,LEC,
FAH331H1,FAR,F,70,29,ONLSYNC,LEC,
FAH337H1,FAR,S,9,9,CLASS,LEC,
FAH337H1,FAR,S,86,13,ONLSYNC,LEC,
FAH338H1,FAR,F,96,51,ONLSYNC,LEC,
FAH347H1,FAR,S,12,4,CLASS,LEC,
FAH347H1,FAR,S,78,36,ONLSYNC,LEC,
FAH352H1,FAR,S,14,14,CLASS,LEC,
FAH352H1,FAR,S,76,59,ONLSYNC,LEC,
FAH360H1,FAR,F,23,23,CLASS,LEC,
FAH360H1,FAR,F,92,92,ONLSYNC,LEC,
FAH371H1,FAR,S,16,13,CLASS,LEC,
FAH371H1,FAR,S,74,27,ONLSYNC,LEC,
FAH380H1,FAR,S,50,0,ONLSYNC,LEC,
FAH382H1,FAR,F,18,18,CLASS,LEC,
FAH382H1,FAR,F,17,17,ONLSYNC,LEC,
FAH388H1,FAR,S,18,18,CLASS,LEC,
FAH388H1,FAR,S,82,25,ONLSYNC,LEC,
FAH407H1,FAR,F,18,10,ONLSYNC,LEC,3
FAH421H1,FAR,F,18,3,ONLSYNC,LEC,3
FAH423H1,FAR,F,18,11,ONLSYNC,LEC,3
FAH424H1,FAR,F,18,6,ONLSYNC,LEC,3
FAH430H1,FAR,S,3,2,CLASS,LEC,3
FAH430H1,FAR,S,9,4,ONLSYNC,LEC,3
FAH436H1,FAR,F,18,18,ONLSYNC,LEC,3
FAH438H1,FAR,F,18,18,ONLSYNC,LEC,3
FAH446H1,FAR,S,5,4,CLASS,LEC,3
FAH446H1,FAR,S,13,4,ONLSYNC,LEC,3
FAH463H1,FAR,S,6,6,CLASS,LEC,3
FAH463H1,FAR,S,18,14,ONLSYNC,LEC,3
FAH470H1,FAR,S,6,3,CLASS,LEC,3
FAH470H1,FAR,S,12,4,ONLSYNC,LEC,3
FAH483H1,FAR,S,0,0,CLASS,LEC,3
FAH483H1,FAR,S,15,15,ONLSYNC,LEC,3
FAH485H1,FAR,S,0,0,CLASS,LEC,3
FAH485H1,FAR,S,12,2,ONLSYNC,LEC,3
FAH486H1,FAR,S,15,0,CLASS,LEC,3
FAH486H1,FAR,S,0,0,ONLSYNC,LEC,3
FAH489H1,FAR,F,18,6,ONLSYNC,LEC,3
FAH489H1,FAR,S,4,0,CLASS,LEC,3
FAH489H1,FAR,S,14,2,ONLSYNC,LEC,3
FAH490H1,FAR,S,0,0,CLASS,LEC,3
FAH490H1,FAR,S,15,3,ONLSYNC,LEC,3
AST101H1,AST,F,1650,1565,ONLASYNC,LEC,1
AST101H1,AST,F,55,55,ONLSYNC,TUT,
AST101H1,AST,F,50,50,ONLSYNC,TUT,
AST101H1,AST,F,55,55,ONLSYNC,TUT,
AST101H1,AST,F,50,50,ONLSYNC,TUT,
AST101H1,AST,F,55,55,ONLSYNC,TUT,
AST101H1,AST,F,50,50,ONLSYNC,TUT,
AST101H1,AST,F,55,55,ONLSYNC,TUT,
AST101H1,AST,F,50,50,ONLSYNC,TUT,
AST101H1,AST,F,55,55,ONLSYNC,TUT,
AST101H1,AST,F,50,47,ONLSYNC,TUT,
AST101H1,AST,F,55,50,ONLSYNC,TUT,
AST101H1,AST,F,50,36,ONLSYNC,TUT,
AST101H1,AST,F,55,25,ONLSYNC,TUT,
AST101H1,AST,F,50,50,ONLSYNC,TUT,
AST101H1,AST,F,55,54,ONLSYNC,TUT,
AST101H1,AST,F,50,50,ONLSYNC,TUT,
AST101H1,AST,F,50,45,ONLSYNC,TUT,
AST101H1,AST,F,50,49,ONLSYNC,TUT,
AST101H1,AST,F,50,28,ONLSYNC,TUT,
AST101H1,AST,F,50,45,ONLSYNC,TUT,
AST101H1,AST,F,50,39,ONLSYNC,TUT,
AST101H1,AST,F,50,40,ONLSYNC,TUT,
AST101H1,AST,F,50,29,ONLSYNC,TUT,
AST101H1,AST,F,50,28,ONLSYNC,TUT,
AST101H1,AST,F,50,18,ONLSYNC,TUT,
AST101H1,AST,F,50,34,ONLSYNC,TUT,
AST101H1,AST,F,50,19,ONLSYNC,TUT,
AST101H1,AST,F,50,44,ONLSYNC,TUT,
AST101H1,AST,F,50,20,ONLSYNC,TUT,
AST101H1,AST,F,50,33,ONLSYNC,TUT,
AST101H1,AST,F,50,34,ONLSYNC,TUT,
AST101H1,AST,F,55,55,ONLSYNC,TUT,
AST101H1,AST,F,55,55,ONLSYNC,TUT,
AST121H1,AST,S,32,27,CLASS,LEC,
AST121H1,AST,S,118,34,ONLSYNC,LEC,
AST199H1,AST,F,12,12,CLASS,LEC,1
AST199H1,AST,F,12,12,ONLSYNC,LEC,1
AST199H1,AST,S,5,5,CLASS,LEC,1
AST199H1,AST,S,19,19,ONLSYNC,LEC,1
AST201H1,AST,S,1650,1464,ONLASYNC,LEC,1
AST201H1,AST,S,55,55,ONLSYNC,TUT,
AST201H1,AST,S,50,49,ONLSYNC,TUT,
AST201H1,AST,S,55,54,ONLSYNC,TUT,
AST201H1,AST,S,50,50,ONLSYNC,TUT,
AST201H1,AST,S,55,55,ONLSYNC,TUT,
AST201H1,AST,S,50,50,ONLSYNC,TUT,
AST201H1,AST,S,55,55,ONLSYNC,TUT,
AST201H1,AST,S,50,48,ONLSYNC,TUT,
AST201H1,AST,S,55,54,ONLSYNC,TUT,
AST201H1,AST,S,50,49,ONLSYNC,TUT,
AST201H1,AST,S,55,38,ONLSYNC,TUT,
AST201H1,AST,S,50,37,ONLSYNC,TUT,
AST201H1,AST,S,55,55,ONLSYNC,TUT,
AST201H1,AST,S,50,50,ONLSYNC,TUT,
AST201H1,AST,S,55,55,ONLSYNC,TUT,
AST201H1,AST,S,50,29,ONLSYNC,TUT,
AST201H1,AST,S,50,23,ONLSYNC,TUT,
AST201H1,AST,S,50,22,ONLSYNC,TUT,
AST201H1,AST,S,50,44,ONLSYNC,TUT,
AST201H1,AST,S,50,23,ONLSYNC,TUT,
AST201H1,AST,S,50,49,ONLSYNC,TUT,
AST201H1,AST,S,50,41,ONLSYNC,TUT,
AST201H1,AST,S,50,28,ONLSYNC,TUT,
AST201H1,AST,S,50,19,ONLSYNC,TUT,
AST201H1,AST,S,50,18,ONLSYNC,TUT,
AST201H1,AST,S,50,18,ONLSYNC,TUT,
AST201H1,AST,S,50,22,ONLSYNC,TUT,
AST201H1,AST,S,50,20,ONLSYNC,TUT,
AST201H1,AST,S,50,38,ONLSYNC,TUT,
AST201H1,AST,S,50,36,ONLSYNC,TUT,
AST201H1,AST,S,55,50,ONLSYNC,TUT,
AST201H1,AST,S,55,55,ONLSYNC,TUT,
AST221H1,AST,F,28,28,CLASS,LEC,*
AST221H1,AST,F,75,75,ONLSYNC,LEC,*
AST222H1,AST,S,13,13,CLASS,LEC,*
AST222H1,AST,S,71,71,ONLSYNC,LEC,*
AST251H1,AST,S,500,384,ONLASYNC,LEC,
AST251H1,AST,S,250,211,ONLSYNC,TUT,
AST251H1,AST,S,250,152,ONLSYNC,TUT,
AST301H1,AST,F,21,18,CLASS,LEC,
AST301H1,AST,F,29,29,ONLSYNC,LEC,
AST301H1,AST,F,21,16,CLASS,TUT,
AST301H1,AST,F,29,28,ONLSYNC,TUT,
AST320H1,AST,S,8,8,CLASS,LEC,*
AST320H1,AST,S,1,0,CLASS,LEC,*
AST320H1,AST,S,4,2,ONLSYNC,LEC,*
AST320H1,AST,S,30,30,ONLSYNC,LEC,*
AST325H1,AST,F,9,9,CLASS,LEC,
AST325H1,AST,F,29,19,ONLSYNC,LEC,
AST326Y1,AST,Y,9,9,CLASS,LEC,
AST326Y1,AST,Y,31,9,ONLSYNC,LEC,
AST424H1,AST,Y,40,4,ONLSYNC,LEC,
AST425Y1,AST,Y,40,14,ONLSYNC,LEC,
BCH210H1,BCH,F,1400,1289,ONLASYNC,LEC,
BCH210H1,BCH,F,300,300,ONLSYNC,TUT,
BCH210H1,BCH,F,500,463,ONLSYNC,TUT,
BCH210H1,BCH,F,300,299,ONLSYNC,TUT,
BCH210H1,BCH,F,300,211,ONLSYNC,TUT,
BCH242Y1,BCH,Y,80,50,ONLASYNC,LEC,*
BCH242Y1,BCH,Y,80,50,ONLSYNC,TUT,
BCH311H1,BCH,S,1500,477,ONLASYNC,LEC,
BCH311H1,BCH,S,300,282,ONLSYNC,TUT,
BCH311H1,BCH,S,1200,183,ONLSYNC,TUT,
BCH340H1,BCH,S,15,15,CLASS,LEC,3
BCH340H1,BCH,S,65,30,ONLSYNC,LEC,3
BCH370H1,BCH,F,16,16,CLASS,LEC,3
BCH370H1,BCH,F,16,16,CLASS,LEC,3
BCH370H1,BCH,F,16,16,CLASS,LEC,3
BCH370H1,BCH,S,24,12,CLASS,LEC,3
BCH370H1,BCH,S,48,48,ONLSYNC,LEC,3
BCH373H1,BCH,F,10,0,CLASS,LEC,3
BCH375H1,BCH,S,10,0,CLASS,LEC,3
BCH375H1,BCH,S,10,0,CLASS,TUT,
BCH377H1,BCH,F,24,6,CLASS,LEC,3
BCH377H1,BCH,F,24,7,ONLASYNC,LEC,3
BCH422H1,BCH,F,65,41,ONLASYNC,LEC,4
BCH422H1,BCH,F,65,35,ONLSYNC,TUT,
BCH425H1,BCH,F,30,28,ONLSYNC,LEC,
BCH426H1,BCH,S,15,11,CLASS,LEC,4
BCH426H1,BCH,S,65,12,ONLSYNC,LEC,4
BCH428H1,BCH,F,25,25,ONLASYNC,LEC,3
BCH428H1,BCH,F,25,24,ONLSYNC,TUT,
BCH440H1,BCH,S,11,4,CLASS,LEC,*
BCH440H1,BCH,S,14,1,ONLSYNC,LEC,*
BCH441H1,BCH,F,100,65,ONLASYNC,LEC,
BCH445H1,BCH,S,12,12,CLASS,LEC,
BCH445H1,BCH,S,12,12,ONLSYNC,LEC,
BCH448H1,BCH,S,15,13,CLASS,LEC,
BCH448H1,BCH,S,30,11,ONLSYNC,LEC,
BCH449H1,BCH,S,15,15,CLASS,LEC,3
BCH449H1,BCH,S,25,18,ONLSYNC,LEC,3
BCH450H1,BCH,S,12,2,CLASS,LEC,3
BCH450H1,BCH,S,28,8,ONLSYNC,LEC,3
BCH450H1,BCH,S,15,2,CLASS,TUT,
BCH450H1,BCH,S,25,7,ONLSYNC,TUT,
BCH470H1,BCH,F,10,0,CLASS,LEC,4
BCH471H1,BCH,S,10,0,CLASS,LEC,4
BCH478H1,BCH,F,10,10,CLASS,LEC,3
